序号,礼包码,礼包物品列表,是否通用,生效时间,失效时间,礼包类型
244,03DEUiRYuQ7Ni,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
245,03DH4SB37H74E,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
246,03DKHVpfLH2Sf,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
247,03DkqV2Z92JV3,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
248,03dnCu4AAkxbC,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
249,03dpfxJ2nEqzY,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
250,03DqrPjtWWrdg,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
251,03dRGaS6GgEny,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
252,03DROx2S9fOcS,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
253,03dRTYbnT7bAk,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
254,03dRUP6AcWxtt,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
255,03dtkNeUFXGRM,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
256,03dUDEi3tDCV7,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
257,03DUjba2nimiA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
258,03DUU6Fk3uQds,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
259,03dvJNwSziL6Y,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
260,03dvYc4cnnLzD,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
261,03DWfVkcLpdwn,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
262,03DwhAWhBVA23,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
263,03dWutkrOFnzA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
264,03dyJTJ67FSWO,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
265,03DZdVjctEmAG,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
266,03e3wYxX5yuAF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
267,03e5qDuy5Q2iP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
268,03E6CgespeEXf,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
269,03EbJGVvunWzU,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
270,03EBUKgh6VGg9,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
271,03ecaHObvNggt,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
272,03ee9cZfrrwZm,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
273,03eEhTmZ8GWd7,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
274,03eEyvZHPec3j,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
275,03EgPGQsGAfps,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
276,03eH3WeQHgFqy,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
277,03EHBRM53E3Ha,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
278,03EHuZn6bfiuZ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
279,03EKaDMERewZx,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
280,03ekkiwB7BfmA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
281,03ELGxSrs99nr,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
282,03EmW44JXDLTP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
283,03eQ8F8kjXfY6,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
284,03EqJF7sV9T3N,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
285,03ERfQgfjGsp3,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
286,03eRrpUCaYxmy,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
287,03eRsFyf6araF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
288,03ErwZj7g29Bd,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
289,03Erxdu9hJwi5,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
290,03es45KetPtQ6,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
291,03eT8DYHZaX6E,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
292,03etQX7fJQ929,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
293,03EWDDp9AryLA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
294,03eXkcEpzgSWu,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
295,03eXtHCmwgOpa,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
296,03ezgG3rZXrX8,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
297,03f2QS4ZasxdX,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
298,03f4e9A3NuxM8,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
299,03F5grsSWtSfN,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
300,03f6iGBBNKbkh,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
301,03F7e9c8SOEjX,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
302,03F7T6sWOHiJF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
303,03f7WOf4uxBZW,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
304,03f8iiAkSrRCi,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
305,03f8Lq9N72Saz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
306,03F9jORCuVURE,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
307,03fCR2rGUTtVz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
308,03FcsqJmDsB27,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
309,03fE56kJNA9eu,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
310,03Fejt2BeLUff,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
311,03feuvSh5hbeN,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
312,03FeVBs4gYn3D,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
313,03fFGWMVtafec,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
314,03fFkErsgOR4S,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
315,03fgA4AG9tBrb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
316,03Fhcqyg5FKbK,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
317,03fhFOsRR4HEF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
318,03FiktJvYGrJ2,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
319,03fjkyBeqgShb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
320,03fjOB3i6sEwi,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
321,03FjzJs9Bazt9,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
322,03fKSD5gESB6t,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
323,03fkTHrHnKO6C,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
324,03fLUJhQcJNdt,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
325,03fM56gdvxGzZ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
326,03FM666G8OHfT,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
327,03Fmaqqw2Kd4q,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
328,03fMD7PXsSOM5,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
329,03FmzKwh8Fxmx,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
330,03fmZnU2J4P6h,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
331,03fN2CxCzs7Dp,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
332,03fN6cLpFUZ9B,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
333,03fOLs4FhkBu5,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
334,03Fs8nXzMQUvQ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
335,03fSHcE4fRU3S,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
336,03fSstTULba2X,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
337,03FTnvUBxMREh,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
338,03FTO7sjgJFjW,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
339,03ftZZCYEHVvn,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
340,03FU2HD875Np6,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
341,03FvkPmOYTQB9,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
342,03FVvbwEbSCLJ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
343,03fWDrrewH5pw,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
344,03FYAMWivkWsG,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
345,03fyPvnZ7zSCP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
346,03fzBCTckdFuC,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
347,03FzUn9YgQubd,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
348,03g2fzBA5q6nw,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
349,03g4DrqxbgeBE,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
350,03g5H2RaJP99k,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
351,03g7rgeT4bwRg,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
352,03GAe9ghAkbJ7,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
353,03gDGRWJXq5zF,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
354,03GEe62uNP9kJ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
355,03Gexs8bdxkU2,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
356,03GgYuPBGDMH6,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
357,03GhRA5yyNAUT,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
358,03Gi3SiJqiPxS,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
359,03Gk6AOTfYpww,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
360,03GKU7G2C72zm,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
361,03gNYpsAGL4c5,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
362,03gOcF9aK36af,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
363,03GP6mycUrFEE,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
364,03gQciqp7eA5d,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
365,03gRh5GueH2ep,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
366,03gSQYBFp6K4k,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
367,03GSu5rnH3FXu,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
368,03gtn3Wi9aVMn,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
369,03GtxzCTKCQ7C,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
370,03gtzMuydbfZn,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
371,03gvLt37Mc8zZ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
372,03gVs87ReLvB7,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
373,03GwizzMyzcxW,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
374,03GwTmLFkwOgE,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
375,03gXYg324Zf86,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
376,03gygKMQiQUvQ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
377,03gYR3KAXCTaS,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
378,03GzSSnYRZb5C,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
379,03h2W9kQLnCqU,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
380,03h3Wgiz2fwXb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
381,03H473TqGx5TB,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
382,03h5Mz7LEAtJN,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
383,03hbAagJQZtcK,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
384,03hBNTXxS3Ktc,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
385,03hBZfcFXPCPb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
386,03hc8bxWcAtf7,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
387,03HdExXLRzXPw,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
388,03hdO8SmBtab6,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
389,03HebmUmRARYZ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
390,03HfkghxUpBKf,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
391,03hFRRPtsbYfp,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
392,03HGzGEAvZ2PY,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
393,03HhZ2Qt8FMN3,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
394,03hj4GAqSKXLr,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
395,03hJgUhViRwJ8,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
396,03hKEgS5JqHmm,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
397,03hKhYewjLHwR,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
398,03HMV9PfsTh44,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
399,03hOkvEhsJd2y,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
400,03hquurZY9jev,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
401,03hrfQALuZQrq,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
402,03hTdXdB4H6RQ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
403,03htHbpDaW38J,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
404,03hTNQKDyLuCn,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
405,03HUKxbbFQWsb,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
406,03HuNsx8MaxgD,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
407,03hvrCksQH2wy,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
408,03HZgTJMtug8j,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
409,03i4zmWHDMcjA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
410,03iATgyk7CV8v,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
411,03iFYUWTiSZYv,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
412,03ijLCNWZTBOA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
413,03iMQLaKhsKzq,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
414,03iqCWMkBiE9x,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
415,03isidiUEe6im,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
416,03iUu23YCeL8i,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
417,03ixVCxGSLX3q,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
418,03j2ntRbWAqJ8,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
419,03j4ykNaM2wrz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
420,03J6hurCi4YT5,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
421,03j6nsXVxmzKm,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
422,03j7TsRRVtydS,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
423,03j9VFanTunOS,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
424,03JbaRPBJfiHp,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
425,03jCFTjXPiqwj,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
426,03jdnfYx7XaGY,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
427,03jFyivn6gK4i,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
428,03jFZ54kKuLJR,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
429,03jGmpR895Y4D,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
430,03JgTtq9CEEO2,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
431,03JH2BXAPYurq,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
432,03ji8xAKcxW2q,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
433,03jKhQ9LWLRRH,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
434,03jLsR4spZGbs,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
435,03Jms7M65GqhL,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
436,03JNLBVTAJYUs,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
437,03JNtsDqgause,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
438,03jObEz5D7A7O,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
439,03Jpu392kAEY3,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
440,03JsPPCqqHf2H,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
441,03JsVfqkZNtnA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
442,03jT8Z8rz3VHm,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
443,03Jtc8vWMkGnE,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
444,03jX7DJwGmiDC,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
445,03JXYMpyr6qUQ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
446,03JyPSWMnwWbA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
447,03jZ7yuvybgHA,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
448,03jZH9NTftuke,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
449,03JZiiiLmSZjU,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
450,03k39Znz5cuxR,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
451,03K3GyCz5N9ti,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
452,03k6cU7PxkTeL,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
453,03KBiEArTBSEx,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
454,03Kf3pdm7WWE8,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
455,03KgZtWEuUivW,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
456,03kH4sOQH9b2z,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
457,03kHp3n7Z3Zkk,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
458,03kkJMgRicGCZ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
459,03KLiM6OEgfNx,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
460,03Kn9BsCkjryY,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
461,03KNQ7f49KcRQ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
462,03KNSwAickrGy,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
463,03KPA9GEXBzmX,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
464,03kpTqdEebTkM,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
465,03KQHKsKJ8XgQ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
466,03kS9Pda6uHZ2,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
467,03KSTTpvgLdHW,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
468,03kt9ryGjCMEX,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
469,03KTRXtNNhZW4,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
470,03kTuwQjdkzLC,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
471,03KtzU5RchQVy,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
472,03kuPT4gLJEcP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
473,03kvbwZZ3rLcj,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
474,03kVCnwRxN9ap,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
475,03KWLkObbHYMc,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
476,03kWMxTeStVmz,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
477,03KwpfyWaNvWG,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
478,03KxfEmpYqwaX,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
479,03kXRLKLtPUFn,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
480,03KyupaQEMq4e,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
481,03L3HNpTpyA9j,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
482,03L56bwVfXUmZ,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
483,03L6wtiANUPET,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
484,03LaMzKh6PrQP,20000242|10;20000195|200,1,"2021-03-27 00:00:00","2021-03-30 00:00:00",3
